Rank,Word,Frequency
1,맛,0.55
2,제노,0.45
3,집,0.39
4,포토북,0.38
5,이,0.37
6,스캔,0.37
7,너무,0.35
8,진짜,0.34
9,수,0.3
10,일,0.29
11,다,0.29
12,앨범,0.29
13,월,0.25
14,위,0.23
15,거,0.22
16,더,0.22
17,잘,0.21
18,나,0.19
19,한,0.19
20,엑소,0.19
21,안,0.19
22,오늘,0.18
23,아,0.18
24,그,0.17
25,스페셜,0.17
26,내,0.16
27,좀,0.16
28,내가,0.16
29,발매,0.15
30,하고,0.15
31,지금,0.15
32,다시,0.15
33,것,0.15
34,그리고,0.15
35,있는,0.15
36,판매,0.14
37,때,0.14
38,포카,0.14
39,재민,0.14
40,비하인드,0.14
41,체육대회,0.14
42,함께,0.14
43,그냥,0.13
44,예약,0.13
45,오늘부터,0.13
46,머리,0.13
47,ㅠㅠ,0.13
48,우리,0.12
49,알티,0.12
50,시,0.12
51,근데,0.12
52,ㅎㅎ,0.12
53,왜,0.12
54,이거,0.12
55,의,0.12
56,있습니다,0.12
57,킹덤,0.11
58,많이,0.11
59,저,0.11
60,마크,0.11
61,출처,0.11
62,ㅋ,0.1
63,ㅠ,0.1
64,블랙핑크,0.1
65,정말,0.1
66,공개,0.1
67,할,0.1
68,원,0.1
69,분,0.1
70,첫,0.1
71,투표,0.1
72,네이버,0.1
73,새,0.1
74,추첨,0.1
75,년,0.09
76,사진,0.09
77,이벤트,0.09
78,방탄소년단,0.09
79,중,0.09
80,하는,0.09
81,제가,0.09
82,엽서북,0.09
83,없는,0.09
84,폴라,0.09
85,런쥔이,0.09
86,한번,0.09
87,많은,0.08
88,데,0.08
89,난,0.08
90,합니다,0.08
91,줄,0.08
92,해,0.08
93,가,0.08
94,또,0.08
95,다른,0.08
96,사람,0.08
97,날씨,0.08
98,머선,0.08
99,ㅋㅋ,0.08
100,포토,0.08
101,항상,0.08
102,차트,0.08
103,이렇게,0.08
104,보고,0.08
105,에서,0.08
106,스밍,0.08
107,당장,0.08
108,계속,0.08
109,게,0.08
110,때마다,0.08
111,이런,0.08
112,날,0.07
113,화,0.07
114,저는,0.07
115,제품확인,0.07
116,하면,0.07
117,라,0.07
118,같이,0.07
119,같은,0.07
120,천러,0.07
121,제,0.07
122,드림,0.07
123,연예,0.07
124,드립니다,0.07
125,나는,0.07
126,팬,0.07
127,태현,0.07
128,드는,0.07
129,반려돌,0.07
130,가볍게,0.07
131,어울리나요,0.07
132,마땅한,0.07
133,하트색이,0.07
134,없넹,0.07
135,에,0.07
136,마,0.07
137,고마워,0.07
138,집에서,0.07
139,개,0.06
140,다들,0.06
141,과,0.06
142,못,0.06
143,인스타,0.06
144,찾고,0.06
145,만,0.06
146,달릴,0.06
147,아니,0.06
148,당일,0.06
149,이게,0.06
150,런쥔,0.06
151,제발,0.06
152,ㅋㅋㅋ,0.06
153,주세요,0.06
154,비용은,0.06
155,바로,0.06
156,걍,0.06
157,미인,0.06
158,감사합니다,0.06
159,진심으로,0.06
160,꼭,0.06
161,준비가,0.06
162,지수,0.06
163,축하해,0.06
164,번,0.06
165,아르바이트를,0.06
166,휴대폰으로아르바이트를하는,0.06
167,시간당,0.06
168,약원으로,0.06
169,영상,0.06
170,누가,0.06
171,뭐,0.06
172,좋은,0.06
173,어떻게,0.06
174,해찬,0.06
175,엄청난,0.06
176,생일,0.06
177,건,0.06
178,위를,0.06
179,가능하다,0.06
180,여러분의,0.06
181,하이라이트,0.06
182,그러지,0.06
183,모든,0.05
184,이제,0.05
185,예고,0.05
186,봄,0.05
187,기사,0.05
188,완전,0.05
189,지성,0.05
190,부탁드립니다,0.05
191,보링,0.05
192,여러분,0.05
193,넘,0.05
194,시간,0.05
195,관심이,0.05
196,여러분과,0.05
197,감사드려요,0.05
198,만원,0.05
199,어제,0.05
200,사람이,0.05
201,전,0.05
202,모두,0.05
203,차지했다고,0.05
204,성원에,0.05
205,남준아,0.05
206,해서,0.05
207,귀여워,0.05
208,본인이,0.05
209,쉰다,0.05
210,거야,0.05
211,초딩,0.05
212,로,0.05
213,분께,0.05
214,겹치면,0.05
215,가능,0.05
216,후,0.05
217,기념,0.05
218,있어요,0.05
219,달방,0.05
220,어,0.05
221,우주소녀,0.05
222,있다면,0.05
223,두,0.05
224,트레저,0.05
225,때문에,0.05
226,열심히,0.05
227,리사,0.05
228,되는,0.05
229,댓글,0.05
230,와,0.05
231,엄마,0.05
232,무슨,0.05
233,된,0.05
234,는,0.05
235,분들,0.05
236,백현,0.05
237,그렇게,0.05
238,좋아,0.05
239,옷,0.05
240,그래서,0.05
241,뭔가,0.05
242,보면,0.05
243,오후,0.05
244,했는데,0.05
245,칠링,0.04
246,외칠,0.04
247,하나,0.04
248,멜론,0.04
249,구호인가,0.04
250,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.04
251,혹시,0.04
252,할인,0.04
253,나도,0.04
254,프리뷰,0.04
255,귀여운,0.04
256,엔시티,0.04
257,공식,0.04
258,가장,0.04
259,쫑똘이,0.04
260,양도,0.04
261,이상,0.04
262,니,0.04
263,볼,0.04
264,온,0.04
265,같아요,0.04
266,아주,0.04
267,본,0.04
268,있음,0.04
269,사실,0.04
270,장,0.04
271,세븐틴,0.04
272,일이,0.04
273,아래,0.04
274,이번,0.04
275,오늘도,0.04
276,있어,0.04
277,화이팅,0.04
278,너무너무,0.04
279,더보이즈,0.04
280,카페,0.04
281,아이돌,0.04
282,좋아하는,0.04
283,아니라,0.04
284,참여,0.04
285,손,0.04
286,빌보드,0.04
287,있어서,0.04
288,없어,0.04
289,서문탁,0.04
290,정규,0.04
291,지역,0.04
292,일본,0.04
293,도,0.04
294,있다,0.04
295,사진을,0.04
296,위해,0.04
297,명,0.04
298,ㅋㅋㅋㅋ,0.04
299,역시,0.04
300,ㅅㅂ,0.04
301,네,0.04
302,임영웅,0.04
303,대한,0.04
304,크레이지,0.04
305,그런,0.04
